,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusValue,testStation,totalDocks,PUMA
114,,8,19,,346,,2019-01-18 02:46:11 PM,40.73652889,,-74.00618026,,Bank St & Hudson St,,Bank St & Hudson St,In Service,False,27,3810.0
115,,25,9,,347,,2019-01-18 02:43:26 PM,40.728846000000004,,-74.00859100000001,,Greenwich St & W Houston St,,Greenwich St & W Houston St,In Service,False,36,3810.0
116,,5,17,,349,,2019-01-18 02:42:25 PM,40.71850211,,-73.98329859,,Rivington St & Ridge St,,Rivington St & Ridge St,In Service,False,23,3809.0
117,,11,15,,350,,2019-01-18 02:44:46 PM,40.71559509,,-73.9870295,,Clinton St & Grand St,,Clinton St & Grand St,In Service,False,28,3809.0
118,,33,6,,351,,2019-01-18 02:43:25 PM,40.70530954,,-74.00612572,,Front St & Maiden Ln,,Front St & Maiden Ln,In Service,False,39,3810.0
119,,15,12,,353,,2019-01-18 02:44:58 PM,40.68539567,,-73.97431458,,S Portland Ave & Hanson Pl,,S Portland Ave & Hanson Pl,In Service,False,27,4004.0
120,,10,12,,354,,2019-01-18 02:45:05 PM,40.69363137,,-73.96223558,,Emerson Pl & Myrtle Ave,,Emerson Pl & Myrtle Ave,In Service,False,23,4004.0
121,,36,7,,355,,2019-01-18 02:44:27 PM,40.71602118,,-73.99974372,,Bayard St & Baxter St,,Bayard St & Baxter St,In Service,False,43,3809.0
122,,4,19,,356,,2019-01-18 02:45:36 PM,40.71622644,,-73.98261206,,Bialystoker Pl & Delancey St,,Bialystoker Pl & Delancey St,In Service,False,23,3809.0
123,,21,6,,357,,2019-01-18 02:45:06 PM,40.73261787,,-73.99158043,,E 11 St & Broadway,,E 11 St & Broadway,In Service,False,27,3810.0
124,,22,12,,358,,2019-01-18 02:43:25 PM,40.73291553,,-74.00711384,,Christopher St & Greenwich St,,Christopher St & Greenwich St,In Service,False,36,3810.0
125,,29,7,,360,,2019-01-18 02:43:48 PM,40.70717936,,-74.00887308,,William St & Pine St,,William St & Pine St,In Service,False,39,3810.0
126,,4,38,,361,,2019-01-18 02:44:07 PM,40.71605866,,-73.99190759,,Allen St & Hester St,,Allen St & Hester St,In Service,False,43,3809.0
127,,24,32,,362,,2019-01-18 02:42:33 PM,40.75172632,,-73.98753523,,Broadway & W 37 St,,Broadway & W 37 St,In Service,False,57,3807.0
128,,36,13,,363,,2019-01-18 02:44:30 PM,40.70834698,,-74.01713445,,West Thames St,,West Thames St,In Service,False,49,3810.0
129,,12,15,,364,,2019-01-18 02:43:00 PM,40.68900443,,-73.96023854,,Lafayette Ave & Classon Ave,,Lafayette Ave & Classon Ave,In Service,False,27,4004.0
130,,6,25,,365,,2019-01-18 02:44:17 PM,40.68223166,,-73.9614583,,Fulton St & Grand Ave,,Fulton St & Grand Ave,In Service,False,31,4004.0
131,,7,24,,366,,2019-01-18 02:44:49 PM,40.693261,,-73.968896,,Clinton Ave & Myrtle Ave,,Clinton Ave & Myrtle Ave,In Service,False,33,4004.0
132,,29,7,,368,,2019-01-18 02:46:16 PM,40.73038599,,-74.00214988,,Carmine St & 6 Ave,,Carmine St & 6 Ave,In Service,False,39,3810.0
133,,21,14,,369,,2019-01-18 02:44:38 PM,40.73224119,,-74.00026394,,Washington Pl & 6 Ave,,Washington Pl & 6 Ave,In Service,False,35,3810.0
134,,13,13,,372,,2019-01-18 02:44:22 PM,40.694546087246025,,-73.95801365375519,,Franklin Ave & Myrtle Ave,,Franklin Ave & Myrtle Ave,In Service,False,27,4003.0
135,,2,16,,373,,2019-01-18 02:45:10 PM,40.69331716,,-73.95381995,,Willoughby Ave & Walworth St,,Willoughby Ave & Walworth St,In Service,False,19,4003.0
136,,11,31,,379,,2019-01-18 02:45:40 PM,40.749156,,-73.9916,,W 31 St & 7 Ave,,W 31 St & 7 Ave,In Service,False,42,3807.0
137,,25,13,,380,,2019-01-18 02:46:14 PM,40.73401143,,-74.00293877,,W 4 St & 7 Ave S,,W 4 St & 7 Ave S,In Service,False,39,3810.0
138,,19,12,,382,,2019-01-18 02:45:23 PM,40.73492695,,-73.99200509,,University Pl & E 14 St,,University Pl & E 14 St,In Service,False,36,3810.0
139,,31,5,,383,,2019-01-18 02:43:00 PM,40.735238,,-74.000271,,Greenwich Ave & Charles St,,Greenwich Ave & Charles St,In Service,False,39,3810.0
140,,4,22,,385,,2019-01-18 02:43:07 PM,40.75797322,,-73.96603308,,E 55 St & 2 Ave,,E 55 St & 2 Ave,In Service,False,29,3808.0
141,,24,17,,386,,2019-01-18 02:43:47 PM,40.71494807,,-74.00234482,,Centre St & Worth St,,Centre St & Worth St,In Service,False,43,3810.0
142,,15,19,,387,,2019-01-18 02:46:14 PM,40.71273266,,-74.0046073,,Centre St & Chambers St,,Centre St & Chambers St,In Service,False,39,3810.0
143,,31,2,,388,,2019-01-18 02:45:09 PM,40.749717753,,-74.002950346,,W 26 St & 10 Ave,,W 26 St & 10 Ave,In Service,False,34,3807.0
144,,16,10,,389,,2019-01-18 02:43:08 PM,40.71044554,,-73.96525063,,Broadway & Berry St,,Broadway & Berry St,In Service,False,27,4001.0
145,,25,6,,390,,2019-01-18 02:45:02 PM,40.69221589,,-73.9842844,,Duffield St & Willoughby St,,Duffield St & Willoughby St,In Service,False,31,4004.0
146,,9,22,,391,,2019-01-18 02:46:14 PM,40.69760127,,-73.99344559,,Clark St & Henry St,,Clark St & Henry St,In Service,False,31,4004.0
147,,27,6,,392,,2019-01-18 02:45:37 PM,40.695065,,-73.987167,,Jay St & Tech Pl,,Jay St & Tech Pl,In Service,False,35,4004.0
148,,1,29,,393,,2019-01-18 02:45:24 PM,40.72299208,,-73.97995466,,E 5 St & Avenue C,,E 5 St & Avenue C,In Service,False,31,3809.0
149,,5,27,,394,,2019-01-18 02:45:57 PM,40.72521311,,-73.97768752,,E 9 St & Avenue C,,E 9 St & Avenue C,In Service,False,32,3809.0
150,,12,12,,396,,2019-01-18 02:45:50 PM,40.680342423,,-73.9557689392,,Lefferts Pl & Franklin Ave,,Lefferts Pl & Franklin Ave,In Service,False,25,4004.0
151,,5,21,,397,,2019-01-18 02:45:50 PM,40.68415748,,-73.96922273,,Fulton St & Clermont Ave,,Fulton St & Clermont Ave,In Service,False,27,4004.0
152,,18,13,,398,,2019-01-18 02:45:51 PM,40.69165183,,-73.99997859999999,,Atlantic Ave & Furman St,,Atlantic Ave & Furman St,In Service,False,31,4005.0
153,,13,14,,399,,2019-01-18 02:43:44 PM,40.68851534,,-73.9647628,,Lafayette Ave & St James Pl,,Lafayette Ave & St James Pl,In Service,False,27,4004.0
154,,8,5,,400,,2019-01-18 02:44:54 PM,40.71926081,,-73.98178024,,Pitt St & Stanton St,,Pitt St & Stanton St,In Service,False,15,3809.0
155,,19,21,,401,,2019-01-18 02:43:58 PM,40.72019576,,-73.98997825,,Allen St & Rivington St,,Allen St & Rivington St,In Service,False,42,3809.0
156,,16,8,,403,,2019-01-18 02:44:34 PM,40.72502876,,-73.99069656,,E 2 St & 2 Ave,,E 2 St & 2 Ave,In Service,False,31,3809.0
157,,29,11,,405,,2019-01-18 02:43:57 PM,40.739323,,-74.008119,,Washington St & Gansevoort St,,Washington St & Gansevoort St,In Service,False,40,3810.0
158,,9,24,,406,,2019-01-18 02:42:55 PM,40.69512845,,-73.99595065,,Hicks St & Montague St,,Hicks St & Montague St,In Service,False,34,4004.0
159,,7,30,,407,,2019-01-18 02:46:18 PM,40.700469,,-73.991454,,Henry St & Poplar St,,Henry St & Poplar St,In Service,False,37,4004.0
160,,8,13,,408,,2019-01-18 02:42:31 PM,40.71076228,,-73.99400398,,Market St & Cherry St,,Market St & Cherry St,In Service,False,23,3809.0
161,,6,12,,409,,2019-01-18 02:45:43 PM,40.6906495,,-73.95643107,,DeKalb Ave & Skillman St,,DeKalb Ave & Skillman St,In Service,False,19,4003.0
162,,3,31,,410,,2019-01-18 02:42:50 PM,40.72066442,,-73.98517977,,Suffolk St & Stanton St,,Suffolk St & Stanton St,In Service,False,35,3809.0
163,,2,21,,411,,2019-01-18 02:44:19 PM,40.72228087,,-73.97668709,,E 6 St & Avenue D,,E 6 St & Avenue D,In Service,False,23,3809.0
164,,12,17,,412,,2019-01-18 02:46:16 PM,40.715815500000005,,-73.99422366,,Forsyth St & Canal St,,Forsyth St & Canal St,In Service,False,29,3809.0
165,,19,1,,414,,2019-01-18 02:46:02 PM,40.70281858,,-73.98765762,,Pearl St & Anchorage Pl,,Pearl St & Anchorage Pl,In Service,False,24,4004.0
